,Compound,Negative,Neutral,Positive,Tweets Ago,Username
35,0.0,1.0,0.0,0.0,36,@FoxNews
36,0.5267,0.764,0.0,0.236,37,@FoxNews
37,-0.5859,0.696,0.304,0.0,38,@FoxNews
38,0.0,1.0,0.0,0.0,39,@FoxNews
39,0.0,1.0,0.0,0.0,40,@FoxNews
40,0.0,1.0,0.0,0.0,41,@FoxNews
41,-0.765,0.602,0.398,0.0,42,@FoxNews
42,0.0,1.0,0.0,0.0,43,@FoxNews
43,0.5859,0.787,0.0,0.213,44,@FoxNews
44,0.0,1.0,0.0,0.0,45,@FoxNews
45,-0.4767,0.823,0.177,0.0,46,@FoxNews
46,-0.6486,0.699,0.301,0.0,47,@FoxNews
47,0.0,1.0,0.0,0.0,48,@FoxNews
48,-0.296,0.891,0.109,0.0,49,@FoxNews
49,0.0,1.0,0.0,0.0,50,@FoxNews
50,-0.6249,0.769,0.231,0.0,51,@FoxNews
51,0.6369,0.679,0.0,0.321,52,@FoxNews
52,0.0,1.0,0.0,0.0,53,@FoxNews
53,-0.4588,0.812,0.188,0.0,54,@FoxNews
54,0.5267,0.779,0.0,0.221,55,@FoxNews
55,0.6249,0.785,0.0,0.215,56,@FoxNews
56,0.5919,0.768,0.0,0.232,57,@FoxNews
57,-0.2732,0.851,0.149,0.0,58,@FoxNews
58,-0.34,0.862,0.138,0.0,59,@FoxNews
59,-0.688,0.726,0.274,0.0,60,@FoxNews
60,0.0,1.0,0.0,0.0,61,@FoxNews
61,0.0,1.0,0.0,0.0,62,@FoxNews
62,0.4767,0.846,0.0,0.154,63,@FoxNews
63,0.0,1.0,0.0,0.0,64,@FoxNews
64,0.0,1.0,0.0,0.0,65,@FoxNews
65,0.2023,0.913,0.0,0.087,66,@FoxNews
66,0.0,1.0,0.0,0.0,67,@FoxNews
67,-0.4019,0.886,0.114,0.0,68,@FoxNews
68,-0.2411,0.906,0.094,0.0,69,@FoxNews
69,0.7579,0.681,0.0,0.319,70,@FoxNews
70,0.4576,0.834,0.0,0.166,71,@FoxNews
71,0.0,1.0,0.0,0.0,72,@FoxNews
72,-0.765,0.602,0.398,0.0,73,@FoxNews
73,-0.4404,0.861,0.139,0.0,74,@FoxNews
74,0.4767,0.838,0.0,0.162,75,@FoxNews
75,-0.0516,0.802,0.104,0.094,76,@FoxNews
76,0.4939,0.862,0.0,0.138,77,@FoxNews
77,-0.3612,0.593,0.259,0.148,78,@FoxNews
78,0.34,0.882,0.0,0.118,79,@FoxNews
79,0.4767,0.819,0.0,0.181,80,@FoxNews
80,-0.5423,0.759,0.241,0.0,81,@FoxNews
81,-0.802,0.573,0.427,0.0,82,@FoxNews
82,0.0,1.0,0.0,0.0,83,@FoxNews
83,0.4939,0.802,0.0,0.198,84,@FoxNews
84,0.6597,0.625,0.0,0.375,85,@FoxNews
85,-0.34,0.87,0.13,0.0,86,@FoxNews
86,0.2023,0.583,0.171,0.246,87,@FoxNews
87,0.0,1.0,0.0,0.0,88,@FoxNews
88,-0.3182,0.827,0.173,0.0,89,@FoxNews
89,0.0,1.0,0.0,0.0,90,@FoxNews
90,0.0,1.0,0.0,0.0,91,@FoxNews
91,-0.4939,0.849,0.151,0.0,92,@FoxNews
92,-0.1531,0.904,0.096,0.0,93,@FoxNews
93,0.0,1.0,0.0,0.0,94,@FoxNews
94,0.0,1.0,0.0,0.0,95,@FoxNews
95,-0.6249,0.769,0.231,0.0,96,@FoxNews
96,0.0,1.0,0.0,0.0,97,@FoxNews
97,0.0,1.0,0.0,0.0,98,@FoxNews
98,0.0,1.0,0.0,0.0,99,@FoxNews
99,-0.34,0.897,0.103,0.0,100,@FoxNews
